Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
2892,2,98.0,0,21,17,0,4,0,2.0,2.0,179,1,1125,266,64,4.68,4.73,1,0.93
2898,1,86.0,0,11,38,2,1,2,1.0,1.0,58,7,90,79,33,4.7,4.52,0,0.33
2901,0,0.0,0,21,38,2,2,0,1.0,1.0,60,1,1125,1,149,4.91,4.97,0,1.47
2906,2,67.0,0,32,17,0,4,0,1.0,3.0,95,3,365,0,148,4.8,4.74,0,1.47
2909,1,86.0,0,5,9,0,4,0,2.0,3.0,200,3,20,113,2,4.5,4.5,0,0.92
2912,1,80.0,0,10,17,0,2,0,1.0,1.0,124,3,28,69,21,4.67,4.81,0,0.21
2913,2,88.0,1,28,38,2,2,0,1.0,1.0,41,1,14,72,176,4.9,4.82,0,1.96
2914,2,99.0,0,12,17,0,7,0,2.0,8.0,120,1,30,303,79,4.52,4.59,0,0.86
2915,1,100.0,0,31,17,0,2,0,1.0,1.0,175,2,31,210,23,4.87,4.86,0,0.25
2916,1,78.0,1,11,17,0,5,0,3.0,4.0,195,2,1125,99,83,4.81,4.71,0,0.84
2917,2,100.0,0,5,38,2,2,2,1.0,1.0,93,1,1125,328,763,4.74,4.53,0,7.62
2922,1,0.0,0,22,17,0,5,0,2.0,2.0,90,4,1125,15,23,4.96,4.83,0,0.23
2929,2,100.0,1,21,32,2,2,2,1.0,1.0,50,2,14,58,344,4.79,4.85,1,3.68
2931,2,77.0,1,18,32,2,3,1,1.0,2.0,66,1,365,338,331,4.87,4.89,0,3.4
2933,2,92.0,1,3,17,0,4,0,2.0,2.0,184,2,21,16,144,4.94,4.97,0,1.42
2937,0,67.0,0,29,17,0,4,0,1.0,2.0,180,2,90,192,133,4.83,4.95,0,1.51
2943,2,80.0,1,27,13,0,10,0,4.0,4.0,582,2,28,177,140,4.9,4.94,0,1.41
2944,1,72.0,1,5,32,2,2,2,1.0,1.0,71,2,32,296,99,4.81,4.88,0,0.99
2956,1,100.0,0,11,17,0,2,0,1.0,1.0,175,28,365,190,18,5.0,5.0,0,0.2
2961,2,100.0,1,19,17,0,3,0,2.0,3.0,220,90,1124,120,151,4.83,4.79,1,1.5
2964,1,0.0,0,9,38,2,1,2,2.0,2.0,55,1,1125,362,0,4.74234347618289,4.717493222771488,0,0.0
2968,2,60.0,0,12,17,0,4,0,2.0,2.0,247,2,26,234,38,4.76,4.62,0,0.38
2970,1,53.0,0,26,13,0,8,0,5.0,4.0,400,3,1125,346,8,4.5,4.25,0,0.11
2973,2,100.0,1,24,60,3,1,2,1.0,1.0,56,3,1125,269,10,4.9,4.8,0,0.11
2974,1,100.0,1,31,13,0,3,0,1.0,2.0,180,30,1125,362,9,4.11,3.78,0,0.09
2979,2,71.0,0,32,17,0,2,0,1.0,2.0,500,5,90,79,16,4.86,4.79,0,0.16
2980,2,91.0,0,12,44,2,2,2,1.0,1.0,75,5,14,70,34,4.82,4.79,0,0.62
2985,2,29.0,0,5,44,2,1,2,1.0,1.0,70,3,1125,194,24,4.88,4.83,0,0.24
2986,2,100.0,0,32,17,0,5,0,2.0,3.0,409,4,180,109,39,4.46,4.36,1,0.39
2989,0,85.0,0,31,17,0,2,0,1.0,1.0,77,2,365,248,75,4.64,4.48,0,0.82
2998,2,97.0,1,19,17,0,4,0,1.0,2.0,258,4,365,189,94,4.89,4.86,0,1.03
3000,1,57.0,0,5,9,0,2,0,1.0,1.0,149,5,8,202,3,4.67,4.67,0,0.71
3007,1,50.0,1,13,48,2,1,2,1.0,1.0,24,3,1125,184,38,4.89,4.84,0,0.38
3015,2,60.0,0,29,9,0,2,0,1.0,1.0,70,28,365,182,16,4.88,4.88,0,0.17
3017,2,70.0,1,32,17,0,2,0,1.0,1.0,180,6,1125,9,59,4.81,4.71,0,0.6
3019,1,57.0,0,18,32,2,1,2,1.0,1.0,45,5,1125,19,3,4.67,4.67,0,1.06
3024,2,99.0,1,1,38,2,1,0,1.0,1.0,35,3,1125,185,12,4.83,4.8,0,0.12
3025,2,39.0,0,5,44,2,1,2,1.0,1.0,26,5,1125,10,173,4.7,4.82,0,2.25
3026,2,100.0,0,32,9,0,2,0,1.0,1.0,120,2,14,112,1,5.0,5.0,0,1.0
3028,0,91.0,1,17,38,2,2,1,1.0,1.0,80,1,30,273,341,4.97,5.0,0,3.41
3029,2,100.0,1,27,48,2,2,1,1.0,1.0,63,2,60,53,207,4.94,4.96,1,2.16
3036,1,75.0,0,30,38,2,2,2,1.0,1.0,41,2,28,265,96,4.92,4.93,0,0.96
3039,2,71.0,0,13,13,0,6,0,4.0,3.0,220,5,40,16,7,4.83,4.0,0,0.07
3043,2,100.0,0,19,17,0,2,0,1.0,2.0,100,3,60,98,79,4.66,4.76,0,0.79
