,Unnamed: 0,host_acceptance_rate,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,reviews_per_month
Unnamed: 0,477289525.5762639,70954.70403851656,3136.118758421309,1196.5299133010712,810.0916421362301,469635.44466224976,-3035.940558425074,-1174007025.9783163,220896.13514504285,-636811.0218048269,-241.1347126060263,-337.0654483158993,2633.2431364987356
host_acceptance_rate,70954.70403851656,447.52601902975033,1.7403802930602148,-0.4820461748134437,0.34258000345444395,163.2319798573097,-7.999105941631008,454564.0985293518,-3.273343947069044,141.08891739281134,-0.554378737814446,-0.3433918403661191,6.346357960463678
accommodates,3136.118758421309,1.7403802930602148,4.189755967454034,1.5255851971094894,2.2265619550406526,209.82304307000481,0.32538440052163914,-79263.65472118759,1.1467877237538726,-10.974195870972837,-0.03147157275288346,-0.04763918176009472,-0.18562425686032927
bedrooms,1196.5299133010712,-0.4820461748134437,1.5255851971094894,0.7976333284509556,0.9274267659252202,88.64394211788277,0.3970019205086812,-18928.97207967739,-1.7515102555464446,-6.175042098922829,-0.0005125261282204863,-0.009896370732602048,-0.1350253353456102
beds,810.0916421362301,0.34258000345444395,2.2265619550406526,0.9274267659252202,1.6467235089834327,108.52391692012064,0.037161714117401344,-29626.140684899092,-0.01829921920214171,-5.5637803186745804,-0.01025033246056031,-0.023117669395830695,-0.10529368374400745
price,469635.44466224976,163.2319798573097,209.82304307000481,88.64394211788277,108.52391692012064,31625.379729766144,92.91436408193545,-5422514.961691159,1811.7113254070784,-1516.312941571136,0.5822310791699292,1.2687177893600803,-31.597641040827423
minimum_nights,-3035.940558425074,-7.999105941631008,0.32538440052163914,0.3970019205086812,0.037161714117401344,92.91436408193545,181.74929781318218,-173682.72043908446,125.09778221848154,-64.1536035332377,-0.026595758901795784,-0.012874685955636041,-2.9076813492395552
maximum_nights,-1174007025.9783163,454564.0985293518,-79263.65472118759,-18928.97207967739,-29626.140684899092,-5422514.961691159,-173682.72043908446,18654620131848.42,4444093.680968446,6811665.837132929,-9687.133667732918,-25153.337581835443,51642.780919769815
availability_365,220896.13514504285,-3.273343947069044,1.1467877237538726,-1.7515102555464446,-0.01829921920214171,1811.7113254070784,125.09778221848154,4444093.680968446,15944.43798500049,-309.06075953700076,-4.700725935285585,-2.8129422688189742,-1.7108394247248115
number_of_reviews,-636811.0218048269,141.08891739281134,-10.974195870972837,-6.175042098922829,-5.5637803186745804,-1516.312941571136,-64.1536035332377,6811665.837132929,-309.06075953700076,3330.906025063426,0.720372000218974,1.1612666742737776,32.52592969770418
review_scores_rating,-241.1347126060263,-0.554378737814446,-0.03147157275288346,-0.0005125261282204863,-0.01025033246056031,0.5822310791699292,-0.026595758901795784,-9687.133667732918,-4.700725935285585,0.720372000218974,0.13986706318100364,0.09985060509784786,0.02083015983116009
review_scores_cleanliness,-337.0654483158993,-0.3433918403661191,-0.04763918176009472,-0.009896370732602048,-0.023117669395830695,1.2687177893600803,-0.012874685955636041,-25153.337581835443,-2.8129422688189742,1.1612666742737776,0.09985060509784786,0.13703396904537007,0.022167169183006583
reviews_per_month,2633.2431364987356,6.346357960463678,-0.18562425686032927,-0.1350253353456102,-0.10529368374400745,-31.597641040827423,-2.9076813492395552,51642.780919769815,-1.7108394247248115,32.52592969770418,0.02083015983116009,0.022167169183006583,1.722088802738123
